15:56:32:850 [ALWAYS]	GUDE Logging Started
15:56:32:850 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
15:56:32:850 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
15:56:32:850 [ERROR]	Initialize resume cache pointer failure
15:56:32:851 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
15:56:32:851 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
15:56:39:708 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
15:56:39:708 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
15:56:39:708 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
15:56:39:708 [ERROR]	Initialize resume cache pointer failure
15:56:39:709 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
15:56:39:709 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
